,No_unique,Perc_unique
0,828,0.9189789123196448
1,821,0.9012074643249177
2,802,0.8852097130242825
3,764,0.8584269662921349
4,720,0.8237986270022883
5,646,0.7608951707891637
6,601,0.7597977243994943
7,555,0.7762237762237763
8,468,0.73125
9,402,0.7077464788732394
10,369,0.6858736059479554
11,292,0.674364896073903
12,261,0.6083916083916084
13,256,0.6274509803921569
14,227,0.6168478260869565
15,191,0.5858895705521472
16,157,0.5814814814814815
17,140,0.5303030303030303
18,126,0.5502183406113537
19,117,0.5318181818181819
20,97,0.47549019607843135
21,99,0.5380434782608695
22,88,0.4731182795698925
23,91,0.5416666666666666
24,106,0.5698924731182796
