,MinSim,MeanSim,MaxSim
0,0.013986013986013986,0.12154235221954834,0.4945054945054945
1,0.012422360248447204,0.12568444070460563,0.2982456140350877
2,0.013157894736842105,0.12837911166983929,0.4166666666666667
3,0.012658227848101266,0.1334486808053748,0.423728813559322
4,0.014388489208633094,0.13768138496065976,0.5384615384615384
5,0.012121212121212121,0.14366255712162956,0.6237623762376238
6,0.014285714285714285,0.14860784641221975,0.4639175257731959
7,0.012987012987012988,0.1514767942659991,0.8
8,0.015037593984962405,0.1591356556586623,0.8192771084337349
9,0.016853932584269662,0.16031908657380065,0.8059701492537313
10,0.014285714285714285,0.16354308521004057,0.7627118644067796
11,0.01639344262295082,0.1745544400926635,0.8507462686567164
12,0.01744186046511628,0.1781713967890144,0.9206349206349206
13,0.014925373134328358,0.1859479869773257,0.8064516129032258
14,0.02040816326530612,0.18959186252131707,0.8059701492537313
15,0.013793103448275862,0.19343598324819325,0.7875
16,0.026785714285714284,0.196029799618728,0.8333333333333334
17,0.024793388429752067,0.19880079737071243,0.7763157894736842
18,0.025210084033613446,0.2104627611644732,0.8444444444444444
19,0.02564102564102564,0.2101373480179364,0.8275862068965517
20,0.035211267605633804,0.2155472030493669,0.8125
21,0.03361344537815126,0.20903934178170458,0.9206349206349206
22,0.02586206896551724,0.22327728221155116,0.9066666666666666
23,0.03731343283582089,0.21898961905802017,0.8421052631578947
24,0.03680981595092025,0.22473496784432392,0.9206349206349206
